"Timestamp","Skill 1","Skill 2","Skill 3","Skill 4","Skill 5"
"2019/09/11 10:24:51 am EET","Kennis programmeertaal ","Werking van een computer","Logisch nadenken","Probleemoplossend denken","Vooruitdenken "
"2019/09/11 10:25:20 am EET","Problem Solving","Drive om te blijven leren","Drive om te innoveren","Motivatie om in een veranderend veld te werken","Passie"
"2019/09/11 10:25:31 am EET","Computational thinking","Innovatie willen volgen (leren) ","Sociaal zijn","De wil om anderen te helpen","De will om nieuwe dingen uit te voeren"
"2019/09/11 10:25:35 am EET","Cognitivisme","Analytisch ","Doorzettingsvermogen","Flexibel","Samenwerking"
"2019/09/11 10:25:36 am EET","geduld","overzicht","problem solving","samenwerking","kennis vakgebied"
"2019/09/11 10:25:47 am EET","Programmeren","Presenteren","Logisch denken","Samenwerken","Werking van computer weten"
"2019/09/11 10:25:47 am EET","probleem oplossend vermogen","logisch nadenken","flexibel werken, ALTIJD AANPASBAAR.","stress aan kunnen","engels praten, schrijven lezen."
"2019/09/11 10:25:58 am EET","Je moet kunnen programmeren","Creativiteit","Kennis in je vakgebied","Engels","Doorzettingsvermogen als je je code niet aan de praat krijgt"
"2019/09/11 10:26:00 am EET","Programmer Kennis","Flexibel denken","type skills I guess","Engels ","social skills"
"2019/09/11 10:26:11 am EET","Flexibiliteit","Meegaan met ICT trends","Kunnen samenwerken in groepsverband","Genoeg sociale skills hebben om met bedrijven overweg te kunnen.","Mee zijn met de laatste programmeertaal."
"2019/09/11 10:26:15 am EET","Probleem oplossend denken","Teamwork","Communicatie","Conceptueel werken","Vooruit denken"
"2019/09/11 10:26:24 am EET","Logisch Nadenken","Flexiebel zijn","Programmeertalen kunnen leren","Sociaal zijn, met bijv. een klant","Goed kunnen omgaan met een computer"
"2019/09/11 10:26:34 am EET","Samenwerkend","Niet verlegen","Inzet","Durven","Tijd, veel tijd"
"2019/09/11 10:26:36 am EET","Programmeren","Creatief zijn","Computers begrijpen","innoveren","websites bouwen"
"2019/09/11 10:26:36 am EET","Aanpasbaarheid","Mogelijkheid om snel te leren","Logisch denkvermogen/wiskundige vaardigheden","Hardnekkig zijn en niet snel opgeven","Goed met stress kunnen omgaan"
"2019/09/11 10:26:37 am EET","Flexibiliteit","Kennis van programmeren","Snel nieuwe programmeertalen leren","Socialiseren","Engels"
"2019/09/11 10:26:38 am EET","Motivation","Mindset for innovation","Adaptable ","Fast learner","Teamwork"
"2019/09/11 10:26:39 am EET","Leergierigheid","Analytisch denken","Integriteit","Projectmatig werken","Flexibiliteit"
"2019/09/11 10:26:41 am EET","Issue solving","Programming basics","Communicatie","Teamwork","Genoeg slaap"
"2019/09/11 10:26:42 am EET","AI programmeren","Veel kennis van programmeertalen","Mee gaan met de tijd","lang door kunnen werken","Clean code kunnen schrijven"
"2019/09/11 10:26:44 am EET","Nieuwsgierigheid","Kunnen omgaan met een computer","Verschillende programeertalen","Zich aan kunnen passen aan verandering","Beheersing van de Engelse taal"
"2019/09/11 10:26:58 am EET","Doorzettingsvermogen","Prestatiegericht","Flexibel","Ruimdenkend","Analytish"
"2019/09/11 10:27:00 am EET","samenwerken","programmeren","in kunnen schatten wat waar nodig is","Vernieuwen","Applicaties in elkaar flansen met zo min mogelijk code"
"2019/09/11 10:27:03 am EET","Innovatief","Doorzettingsvermogen","beheersen van verschillende programmeertalen","geduldig","creatief"
"2019/09/11 10:27:06 am EET","flexibel ","leergierig","goed doorzettingsvermogen ","basis van programmeer concepten","logisch kunnen nadenken "
"2019/09/11 10:27:08 am EET","snel leren","google goed gebruiken","logisch stapsgewijs denken","meerdere programmeertalen kunnen","snel type"
"2019/09/11 10:27:12 am EET","Engels","Gezond verstand","Basis rekenen","Programmeertalen begrijpen","Inzicht"
"2019/09/11 10:27:35 am EET","Werken in groepen","Goed leesbare code schrijven","Kunnen programmeren in verschillende programmeertalen (dus niet specialiseren in één programmeertaal)","Hoe je dingen op het internet opzoekt (stackoverflow, etc.)","weten hoe kunstmatige intelligentie werkt en dit ook toepassen."
"2019/09/11 10:27:40 am EET","Werkprocessen analyseren","Automatiseren van proccessen","Zelfstandig leren","Comuniceren","Met computers om kunnen gaan"
"2019/09/11 10:27:43 am EET","Samenwerken","nieuwe kennis leren","open staan voor kritiek ","aanpasbaar","vele codeer talen kennen en leren"
"2019/09/11 10:27:44 am EET","aanpassings vermogen","verstand van de Engelse taal","kennis van rekenen(niet wiskunde)","positieve mindset","doorzettingsvermogen"
"2019/09/11 10:28:05 am EET","aanpasbaar","doorzetten","commente","zoeken","werken"
"2019/09/11 10:28:08 am EET","De basis van het vak","Basis van verschillende programmeertalen zodat als het ene bedrijf dit gebruikt en het andere bedrijf iets anders dat je er gemakkelijker in kan rollen","creativiteit","probleemgerichte oplossingen kunnen vinden en toepassen","met de tijd mee gaan. (niet blijven hangen, want je gaat achterlopen)"
"2019/09/11 10:28:12 am EET","hardwerkend","doorzettingsvermogen","ambitieus","creatief","innovatief"
"2019/09/11 10:28:15 am EET","Onder druk kunnen werken.","Ervaring met verschillende talen.","Probleem oplossend kunnen denken.","Graag nieuwe dingen willen leren.","Weten hoe je iets moet aanpakken."
"2019/09/11 10:28:28 am EET","Programmeertaal goed beheerse en jezelf kunnen aanpassen aan andere programeertalen. ","Goede communicatie houden met andere programeurs ","Blijven leren want de ict verandert snel","Genieten van het feit dat je alles kan maken met een computer.","Goed zijn met Google want je zult veel moeten opzoeken..."
"2019/09/11 10:28:40 am EET","Ability to adapt","Willing to learn","Distinct fact from fiction","Willing to imporvise","Ability to think further then a week"
"2019/09/11 10:28:54 am EET","Kunnen programmeren","Verstand hebben van hoe een computer werkt","Goed mee kunnen gaan als er iets veranderd","Goed met andere mensen kunnen werken","Geduld"
"2019/09/11 10:29:23 am EET","Probleemoplossend Inzicht","Passie voor je werk","Strevend","Actueel","Nieuwsgierig"
"2019/09/11 10:29:24 am EET","Doorzettingsvermogen","Ambitieus","Hardwerkend","Geduld","Motivatie"
"2019/09/11 10:29:26 am EET","Creativiteit","Werken in groespverband","Kunnen aanpassen aan nieuwe technologie","Bereid zijn om aan te passen aan nieuwe technologie","Meer kunnen dan alleen programmeren"
"2019/09/11 10:29:31 am EET","kennis programmeren","flexibiliteit/adaptatie","kennis van computers","problem solving","creativiteit"
"2019/09/11 10:30:43 am EET","Flexibel","Leergierig","Nieuwsgierig","Out of the box denken","Adaptable"
"2019/09/11 10:32:11 am EET","Innovatief zijn","Probleemoplossend vermogen hebben","Sociale skills","Leervermogen","-"
"2019/09/11 10:34:14 am EET","Goede concentratie","Analystisch vermogen","Leergierig","Programmeren","Samenwerken"
"2019/09/11 10:34:17 am EET","omgaan met verandering","samenwerken met een team/klanten","acceptatie dat je nooit alles weet","geduld en motivatie","een passie voor je vak"
